OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
323,0745,745.0,SHADOW ROCK,0745,726,563,0.775482,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5998299.16796875,13827.2976766747
324,0342,342.0,GROVES,0342,884,554,0.626696,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9498796.82421875,18277.7562475074
325,0133,133.0,CITRUS GARDENS,0133,942,605,0.64225,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3722774.703125,7716.10056315385
326,0817,817.0,SUNSET RIDGE,0817,313,173,0.552715,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2804284.2109375,9607.34221241201
327,0935,935.0,ZUNI HILLS,0935,1047,668,0.638013,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,19216562.7539063,29818.3097929859
328,0862,862.0,VALENCIA,0862,154,76,0.493506,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6081602.75390625,10634.61045195
329,0435,435.0,LARKSPUR,0435,298,210,0.704697,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,949021.70703125,3896.0250720649
330,0522,522.0,MISSION,0522,984,610,0.619918,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3748676.9453125,7732.3672897855
331,0763,763.0,SKY HAWK,0763,289,264,0.913494,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2740899.5078125,7913.39047223553
332,0818,818.0,SUNUP,0818,555,302,0.544144,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2151032.453125,6748.4187582954
333,0548,548.0,NICOLET,0548,788,366,0.464467,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2897114.828125,8165.62548808988
334,0804,804.0,SUNCLIFF,0804,564,309,0.547872,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3755056.3515625,7746.11725419549
335,0225,225.0,DEVONSHIRE,0225,1629,884,0.542664,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8819170.41015625,13393.7359196315
336,0433,433.0,LANTANA CANYON,0433,648,404,0.623456,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7898206.04296875,12492.0307277598
337,0298,298.0,FULTON RANCH,0298,945,689,0.7291,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8419560.37109375,12597.2973718499
338,0515,515.0,MICHELLE,0515,345,199,0.576811,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1859346.4921875,5776.36478781803
339,0723,723.0,SAN MICHELLE,0723,1097,689,0.628076,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8950523.19921875,16793.9252800759
340,0646,646.0,PINON,0646,1095,623,0.568949,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5649111.92578125,9883.56751868812
341,0614,614.0,PAPAGO PARK,0614,591,283,0.478849,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10854986.375,16285.8262568091
